N0	0
N1	1
N2	2
N3	3
N4	4
N5	5
N6	6
N7	7
N8	8
N9	9
COLON	:
COMMA	,
EXCLAMATION	!
EXCL		!
AT_SIGN		@ 
AT	@ 
HASHPOUND # 
DOLLAR	  $
DLLR	  $
PERCENT	    %
PRCNT	%
CARET	^
AMPERSAND	&
AMPS	&
ASTERISK	*
ASTRK	*
STAR	*
LEFT_PARENTHESIS    (
LPAR	(
RIGHT_PARENTHESIS     )
RPAR	)
EQUAL =
PLUS +
MINUS -
UNDERSCORE	_
UNDER	_
SLASH	   /
FSLH	/
QUESTION   ?
QMARK	?
BACKSLASH      \
BSLH	\
PIPE	  |
SEMICOLON	;
SEMI	;
SINGLE_QUOTE   '
SQT	'
APOSTROPHE	'
APOS	'
DOUBLE_QUOTES	 "
DQT	"
LESS_THAN     <
LT	<
PERIOD	  .
DOT	.
GREATER_THAN	>
GT	>
LEFT_BRACKET [
LBKT	   [
LEFT_BRACE   {
LBRC   {
RIGHT_BRACKET	]
RBKT	]
RIGHT_BRACE   }
RBRC	}
GRAVE	`
TILDE	~
BACKSPACE       BS
RETURN          RET
PG_UP           PGUP
PG_DN           PGDN
SPACE           ␣
LCTRL	&#xfb33
RCTRL	&#xfb33
LEFT_SHIFT          &#xfb35
RIGHT_SHIFT          &#xfb35
LSHIFT          &#xfb35
RSHIFT          &#xfb35
LCMD            &#xfb32
RCMD            &#xfb32
LALT            &#xfb34
RALT            &#xfb34
UP              &#xeaa1
DOWN            &#xea9a
LEFT            &#xea9b
RIGHT           &#xea9c
LC(SPACE)       MARK
BT_CLR          &#xf293×
BT_NXT          &#xf293+
BT_PRV          &#xf293-
LC(TAB)         +TAB
LC(LS(TAB))     -TAB
LG(LEFT_BRACKET) &#xf9aa